NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
MT189-12 (MT189-12 WILLY TUMBLER 12(48PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	2.00 , 	6.00 , 	2.00 , 	3.00 , 	30.00 , 	12.00 , 	20.00 , 	4.00 , 	13.00 , 	1.00 , 	1.00 , 	32.00 , 	126.00 ,,
982 (982 GLASS CUP(48PCS)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	2.00 , 	2.00 , 	2.00 , 	-   , 	4.00 , 	-   , 	2.00 , 	15.00 ,,
A5J109CS (A5J109CS WINE GLASS(48PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	5.00 , 	10.00 ,,
A8K11 (A8K11 GLASS CUP(48PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	1.00 , 	1.00 , 	-   , 	3.00 , 	10.00 ,,
A8WL72 (A8WL72 GLASS VASE(6PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	1.00 , 	2.00 , 	3.00 , 	-   , 	7.00 ,,
A8Z14 (A8Z14 GLASS BOWL(6PCS/CTN)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	-   , 	-   , 	15.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	15.00 ,,
JP-02 (JP-02 GLASSCUP(48PCS/CTN)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	-   , 	-   , 	-   , 	17.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	17.00 ,,
JX3011 (JX3011 GLASSWARE (8SETS)),GLASSE WARE, $	12.00 , $	18.60 , 	5.00 , 	17.88 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	22.88 ,,
JX3014 (JX3014 VERRE A EAU GLASSWARE (8SETS)),GLASSE WARE, $	13.00 , $	20.15 , 	30.00 , 	12.00 , 	14.00 , 	78.00 , 	-   , 	-   , 	-   , 	0.88 , 	-   , 	-   , 	-   , 	-   , 	134.88 ,,
KB180 (KB180 GLASS CUP(48PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	2.00 , 	4.00 , 	2.00 , 	-   , 	2.00 , 	2.00 , 	7.00 , 	22.00 ,,
Q126050 (Q126050 GLASS VASE (15PCS)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	1.00 , 	-   , 	2.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	4.00 ,,
Q126051 (Q126051 GLASS VASE 6''(24PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.00 ,,
Q126132 (Q126132 / GLASS VASE(12 PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	1.00 , 	5.00 , 	4.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	13.00 ,,
Q126166 (Q126166 GLASS VASE (6PCS)),GLASSE WARE, $	15.00 , $	23.25 , 	-   , 	-   , 	-   , 	-   , 	15.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	2.00 , 	-   , 	18.00 ,,
Q126178 (Q126178 GLASS VASE(12PCS)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	1.00 , 	2.00 , 	-   , 	9.00 ,,
Q126243 (Q126243 GLASS POT 8.5''(12PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 ,,
Q126274 (Q126274 GLASS POT 11.5(12PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	3.00 , 	-   , 	2.00 , 	4.00 , 	-   , 	-   , 	3.00 , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	15.00 ,,
Q126359 (Q126359 GLASS CUP 6.5'' (48PCS)),GLASSE WARE, $	14.00 , $	21.70 , 	2.00 , 	1.00 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	3.00 , 	9.00 ,,
Q126570 (Q126570 GLASS VASE 18*14.5''(6PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	-   , 	-   , 	2.00 ,,
Q126605 (Q126605 WINE GLASS 7.5''(48PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	1.00 , 	2.00 , 	1.00 , 	29.00 , 	30.00 , 	28.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	30.00 , 	121.00 ,,
Q126889 (Q126889 GLASS CUP 4.5''(48PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	2.00 , 	1.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	1.00 , 	6.00 ,,
Q191007 (Q191007 WINE GLASS(48 PCS)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	-   , 	-   , 	9.00 , 	-   , 	1.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	11.00 ,,
RD-B (RD-B GLASS CUP(48PCS)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	8.00 ,,
3031 (3031 5Pcs Glass grap Bowl (12/Ctn)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	10.92 , 	-   , 	1.00 , 	3.00 , 	-   , 	-   , 	-   , 	2.00 , 	-   , 	1.00 , 	17.92 ,,
BJ-500 (BJ-500 Glass Water Pot 500ml  W/3 colours (Red/ Blue/Green) Plastic Lid (...,GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 ,,
FS001-S6 (FS001-S6 Wine Glass/6Pcs set (8sets/CTN)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	2.13 , 	-   , 	2.00 , 	465.00 , 	380.88 , 	95.00 , 	30.00 , 	35.00 , 	15.00 , 	195.00 , 	317.00 ," 	1,537.00 ",,
LF-1000S (LF-1000S GLASS WATER JUG (12PCS/CTN)),GLASSE WARE, $	11.00 , $	17.05 , 	1.00 , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	7.00 ,,
LG-1.4V (LG-1.4V VERTICAL GLASS WATER POT (12 Pcs/Ctn)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	0.42 , 	-   , 	-   , 	0.75 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.17 ,,
LG 1.4A (LG 1.4A  ACROSS GLASS WATER POT W/4 COLOUR  (12 Pcs)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 ,,
WB001-S7 (WB001-S7.(6 Pcs/Ctn)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	0.17 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.17 ,,
WB001-S7F (WB001-S7F DECANTER SET (6SETS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	0.17 , 	-   ," 	1,102.00 ", 	-   , 	-   , 	-   , 	-   , 	-   , 	857.00 , 	68.00 ," 	2,027.17 ",,
WB001F (WB001F GLASS  FISH DECANTER 12PCS),GLASSE WARE, $	13.00 , $	20.15 , 	3.00 , 	-   , 	1.17 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	90.00 ," 	1,133.00 "," 	1,227.17 ",,
ZS-500 (ZS-500 GLASS WATER POT 500ml  W/3 (colours/Red/ Blue/Green) PLASTIC LID(2...,GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	1.00 , 	2.00 , 	-   , 	2.00 , 	-   , 	3.00 , 	13.00 ,,
FRG004 (FRG004 Decorated Glass tumbler/4pcs w.b(12sets)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	0.19 , 	-   , 	55.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	55.19 ,,
GYB156 (GYB156 GLASS BOTTLE 1.8L(12pcs)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	0.33 , 	1.47 , 	7.00 , 	-   , 	5.75 , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	144.00 , 	162.56 ,,
GYB160 (GYB160 GLASS BOTTLE 1.8L(12pcs)),GLASSE WARE, $	14.00 , $	21.70 , 	3.00 , 	0.92 , 	2.08 , 	2.00 , 	-   , 	6.00 , 	-   , 	2.00 , 	4.00 , 	-   , 	2.00 , 	108.00 , 	130.00 ,,
SB735A (SB735A (Soup Bowl 6.75)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	4.75 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	4.75 ,,
P5917YD-P5713YD/16CB (P5917YD-P5713YD/16CB Glass Tumbler (48 Pcs/ Box )),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	3.66 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.66 ,,
YH-86H162 (YH-86H162 CLEAR GLASS TRUMBLER (6SETS OF 6PCS) (36PCS/CTN)),GLASSE WARE, $	14.00 , $	21.70 , 	-   , 	640.00 , 	20.00 , 	118.00 , 	155.00 , 	101.00 , 	71.00 , 	60.00 , 	70.00 , 	90.00 , 	115.00 , 	60.00 ," 	1,500.00 ",,
YH-KT079 (YH-KT079CLEAR GLASS BEER MUG(24PCS/CTN)),GLASSE WARE, $	12.00 , $	18.60 , 	5.00 , 	-   , 	1.59 , 	10.00 , 	35.00 , 	21.00 , 	-   , 	3.00 , 	-   , 	-   , 	-   , 	33.00 , 	108.59 ,,
YN-75H147 (YN-75H147/14oz CLEAR TRUMBLER (72Pcs/ctn)),GLASSE WARE, $	11.00 , $	17.05 , 	34.00 , 	10.00 , 	1.50 , 	62.00 , 	35.00 , 	36.00 , 	45.00 , 	11.00 , 	50.00 , 	35.00 , 	15.00 , 	407.00 , 	741.50 ,,
YX-BM9140 (YX-BM9140 CLEAR GLASS HI BALL(6PCS/BOX / 48PCS/CTN)),GLASSE WARE, $	11.00 , $	17.05 , 	1.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 ,,
AD-21014 (AD-21014 1.3L PITCHER + TUMBLER (12SET)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	304.00 , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	310.00 ,,
"BDAQH/L3 (BDAQH/L3 FRUIT PLAT:1500ml, GLASS CUP:380ml (12SET))",GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	4.00 , 	1.00 , 	6.00 , 	6.00 , 	(2.00), 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	18.00 ,,
BDWY/L6 (BDWY/L6 2X MUG (8SET)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	43.00 , 	15.13 , 	-   , 	-   , 	-   , 	8.00 , 	66.13 ,,
BDYY/L5 (BDYY/L5 BOWL SET (10PCS)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	(1.40), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1.40 , 	-   ,,
P5819 (P5819  6PCS VENA  STAINLESS (8SETS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	12.00 , 	15.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	27.00 ,,
WXBXW/L2C (WXBXW/L2C SQUARE 550ml+800ml(24SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	2.00 , 	30.00 , 	0.08 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	32.08 ,,
WXBXW/L3B (WXBXW/L3B ROUND 420ml+660ml+950ml912SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	2.00 , 	3.00 , 	30.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	35.00 ,,
YTBFGZ/L2 (YTBFGZ/L2 COOLER WITH SALAD BOWL PRINT(12SETS)),GLASSE WARE, $	10.00 , $	15.50 , 	(4.41), 	-   , 	2.00 , 	-   , 	11.00 , 	30.00 , 	-   , 	3.00 , 	7.00 , 	2.00 , 	-   , 	8.00 , 	58.59 ,,
YTBHLT/L3 (YTBHLT/L3 1PC BIG BOWL- 2 PC SMALL BOWL (8SET)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	38.00 , 	-   , 	-   , 	-   , 	-   , 	14.00 , 	52.00 ,,
YTBHLTBB/L6 (YTBHLTBB/L6 6X MUG (8SET)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	48.00 , 	2.13 , 	5.00 , 	-   , 	-   , 	-   , 	55.13 ,,
YTBW/L2 (YTBW/L2 (12SET)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	97.00 , 	-   , 	7.00 , 	40.00 , 	144.00 ,,
YTBXW/L2A (YTBXW/L2A RECTANGLE 1060ml+680ml (12SET)),GLASSE WARE, $	12.00 , $	18.60 , 	2.00 , 	1.00 , 	4.00 , 	7.00 , 	5.00 , 	1.00 , 	8.00 , 	53.00 , 	176.00 , 	-   , 	10.00 , 	15.00 , 	282.00 ,,
YTBXW/L3 (YTBXW/L3 3X ROUND FOOD CONTAINER (16SET)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	64.00 , 	-   , 	2.00 , 	20.00 , 	-   , 	14.00 , 	100.00 ,,
"YTCSFR/L4 (YTCSFR/L4 2X5' BOWL, 2X8' PLATE (10SET))",GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 ,,
YTFLS/L4 (YTFLS/L4 3 AMBER PLATE+1TRANSPARENT PLATE (8SET)),GLASSE WARE, $	12.00 , $	18.60 , 	1.00 , 	-   , 	-   , 	2.00 , 	2.00 , 	11.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	8.00 , 	26.00 ,,
YTFLS/L5 (YTFLS/L5 BOWL SET(8PCS)),GLASSE WARE, $	15.00 , $	23.25 , 	-   , 	0.88 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.88 ,,
YTGSLS/L4 (YTGSLS/L4 300nl NEW DESIGN TUMBLER (15SET)),GLASSE WARE, $	13.00 , $	20.15 , 	1.00 , 	-   , 	-   , 	-   , 	7.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	8.00 ,,
YTHJH/L5A (YTHJH/L5A 670nl BOWLx2+22cmPLAYEx2+ CASSEROLE900ml (10SET)),GLASSE WARE, $	12.00 , $	18.60 , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	8.00 ,,
YTHPB/L1 (YTHPB/L1 CASSEROLE (12SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 ,,
YTPYGH/L4 (YTPYGH/L4 2X BLUE TUMBLER- 2X BLUE FISH PLATE (12SET)),GLASSE WARE, $	14.00 , $	21.70 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	25.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	25.00 ,,
YTSJ/L7 (YTSJ/L7/P7      7PCS FISH WATER SET(6SETS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	0.83 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	779.00 , 	35.00 , 	60.00 , 	-   , 	874.83 ,,
YTSMHNBXW/L2 (YTSMHNBXW/L2 BIG SALAD BOWL/ SMALL SALAD BOWL (12SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 ,,
YTTG23/L7 (YTTG23/L7 7PCS FISH PUDDING SET (6SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	58.00 , 	33.00 , 	-   , 	-   , 	-   , 	-   , 	91.00 ,,
YTTSLZ/L1 (YTTSLZ/L1 CASSEROLE (12SET)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 ,,
YTTSLZ/L4 (YTTSLZ/L4 PLATE AND BOWL (8SET)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 ,,
YTTSLZ/L5A (YTTSLZ/L5A BOWL AND MUG (6SET)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 ,,
YTTSLZYP/L4 (YTTSLZYP/L4 FISH PLATE AND BOWL (8SET)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 ,,
YTWBXW/L3A (YTWBXW/L3A (12SET)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	47.00 , 	2.00 , 	7.00 , 	4.00 , 	60.00 ,,
YTWMBXW/L2 (YTWMBXW/L2 ROUND 660ml; RECTANGLE 680ml(12SET)),GLASSE WARE, $	11.00 , $	17.05 , 	41.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	45.00 ,,
YTWMBXW/L3C (YTWMBXW/L3C 1 RECTANGULAT 2SQUARE WITH BAG (6SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	103.00 , 	23.00 , 	20.00 , 	3.00 , 	149.00 ,,
YTWXBXW/L1A (YTWXBXW/L1A 1RECTANGULAR (24SET)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	46.00 , 	-   , 	5.00 , 	-   , 	51.00 ,,
YTWXBXW/L2A (YTWXBXW/L2A (16SET)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	32.00 , 	-   , 	12.00 , 	11.00 , 	55.00 ,,
YTWY-1200/L1 (YTWY-1200/L1 ROUND FOOD CONTAINER (24SET)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	20.00 , 	-   , 	-   , 	-   , 	20.00 ,,
"YTWY/L5 (YTWY/L5 BIG BOWL 20cm,1400ml; SMALL BOWL 13cm 550ml (6SET))",GLASSE WARE, $	13.00 , $	20.15 , 	2.00 , 	2.00 , 	2.00 , 	4.00 , 	8.00 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	3.00 , 	22.00 ,,
YTWY/L5A (YTWY/L5A 1X BIG BOWL- 2X SMALL BOWL- 2X TUMBLER (8 SET)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	38.00 , 	-   , 	-   , 	-   , 	-   , 	6.00 , 	44.00 ,,
YTWYBXW/L3 (YTWYBXW/L3 ROUND FOOD CONTAINER (9 SET)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	19.00 , 	-   , 	-   , 	-   , 	19.00 ,,
YTYCB/L1 (YTYCB/L1 200ml TEA MUG (60ET)),GLASSE WARE, $	11.00 , $	17.05 , 	1.00 , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 ,,
YTYF/L3 (YTYF/L3  CASSEROLE WITH 2 BOWLS(12SETS OF 3PC)),GLASSE WARE, $	14.00 , $	21.70 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2.00 ,,
YTYFBWB/L3 (YTYFBWB/L3 1X CASSEROLE- 2X BOWL (8 SET)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	73.00 , 	-   , 	-   , 	5.00 , 	5.00 , 	-   , 	83.00 ,,
YTYH/L7 (YTYH/L7 GLASSWARE (4SET/CTN)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	25.00 , 	-   , 	-   , 	-   , 	25.00 ,,
YTYSJ/7P  (4SETS) (YTYSJ/7P   7PCS JUG SET (4ESTS)),GLASSE WARE, $	14.00 , $	21.70 , 	-   , 	9.00 , 	5.00 , 	3.00 , 	72.00 , 	0.25 , 	-   , 	69.00 , 	-   , 	-   , 	-   , 	-   , 	158.25 ,,
YTYSJ/7P*** (YTYSJ/7P 7PCS  JUG SET(6SETS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   ," 	1,585.16 ", 	154.00 , 	94.00 , 	(94.00), 	0.17 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ," 	1,739.33 ",,
YTZD/L7 (YTZD/L7 7PCS DOT CLEAR SET(6SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	435.00 ," 	1,205.00 ", 	150.00 , 	-   , 	-   , 	-   , 	402.00 , 	15.00 , 	90.00 , 	927.00 ," 	3,224.00 ",,
YTZHXS/L4 (YTZHXS/L4 2X BOWL (12SET)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	24.00 , 	5.00 , 	-   , 	-   , 	-   , 	5.00 , 	34.00 ,,
YTZZSSJ/7 (YTZZSSJ/7 JUG SET (6SETS)),GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	5.00 , 	1.00 , 	8.00 , 	2.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	18.00 ,,
116H (116H  TRUMBLER (4Pcs/Window Box 12set/ctn)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 ,,
BPS3516 (BPS3516 (13oz Verre @ Boire (8sets/ctn)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	74.98 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	74.98 ,,
BW-5 (BW-5   1Pc JUG + 4Pcs GLASS TRUMBLER  (8Sets/ Ctn)),GLASSE WARE, $	13.00 , $	20.15 , 	(1.00), 	-   , 	(1.25), 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	55.00 , 	53.75 ,,
J-05MD (J-05MD 0.5L GLASS JUG (24PCS)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	0.29 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.29 ,,
JQE-110 (JQE-110 Glass Jug with Lid (12 Pcs/ Box)),GLASSE WARE, $	11.00 , $	17.05 , 	-   , 	5.92 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.92 ,,
LBW-12 BOWL (LBW-12 12'' BIG BOWL WHITE (24PCS)),GLASSE WARE, $	11.00 , $	17.05 , 	(1.00), 	-   , 	-   , 	24.00 , 	-   , 	-   , 	-   , 	-   , 	4.00 , 	-   , 	-   , 	-   , 	27.00 ,,
"PS6011-7 (PS6011-7 7PCS COLORED JUG SET/ COLOR BOX , GLASS TRUMBLER  (4sets/ctn))",GLASSE WARE, $	10.00 , $	15.50 , 	-   , 	-   , 	(0.25), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	(0.25),,
QW-5 (QW-5 (1Pc JUG + 4Pcs GLASS TRUMBLER)  4 Color Lid Mixed (8Sets/ Ctn)),GLASSE WARE, $	9.00 , $	13.95 , 	-   , 	-   , 	(0.13), 	(79.00), 	10.00 , 	20.13 , 	-   , 	-   , 	-   , 	-   , 	-   , 	355.00 , 	306.00 ,,
XM7029/5 (XM7029/5(5 Pcs Glass Bowl est +1Pc 9'' +4Pcs 5'') 6 SETS),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	(0.17), 	-   , 	-   , 	0.17 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,
Z1316-7 (Z1316-7/  (6 Sets of Jug Set/ Box)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	0.33 , 	(0.17), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	0.17 ,,
DSH2027/L7 (DSH2027/L7 JUG GLASS (4SET/CTN)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	110.00 , 	110.00 ,,
DSH2035/L7 (DSH2035/L7 JUG GLASS (4SET/CTN)),GLASSE WARE, $	13.00 , $	20.15 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	110.00 , 	110.00 ,,
DSH2041/L7 (DSH2041/L7 JUG GLASS (4SET/CTN)),GLASSE WARE, $	12.00 , $	18.60 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	110.00 , 	110.00 ,,
