NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
CG3005 (3005 CURTAIN SHEER W/ TAFFETA),CURTAIN, $	7.00 , $	12.25 , 	1.00 , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	18.00 , 	-   , 	20.00 ,,
CG3009 (3009 CURTAIN SHEER NW/ TAFFETA ),CURTAIN, $	7.00 , $	12.25 , 	-   , 	-   , 	7.00 , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	17.00 , 	2.00 , 	28.00 ,,
CG310 (310 SHEER CURTAIN W/ TAFEETA),CURTAIN, $	7.00 , $	12.25 , 	1.00 , 	-   , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	-   , 	10.00 ,,
CLXX2000 (CLXX2000 CURTAIN SHEER W/ TAFFETA),CURTAIN, $	7.00 , $	12.25 , 	4.00 , 	-   , 	7.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	11.00 ,,
DTC-305 (305 SHEER CURTAIN W/ TAFFETA),CURTAIN, $	7.00 , $	12.25 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	5.00 , 	-   , 	14.00 , 	20.00 ,,
K1-02 (K1-02 KITCHEN CURTAIN),CURTAIN, $	7.00 , $	12.25 , 	-   , 	-   , 	(1.00), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	(1.00),,
K4-01 (K4-01 KITCHEN CURTAIN),CURTAIN, $	7.00 , $	12.25 , 	(7.93), 	-   , 	(0.97), 	-   , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	2.00 , 	2.00 , 	0.10 ,,
HD30301 (HD30301 WINDOW CURTAIN (60SET)),CURTAIN, $	12.00 , $	21.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	106.00 , 	130.00 , 	236.00 ,,
KB-727-1 (KB-727-1 WINDOW CURTAIN ROD ),CURTAIN, $	14.00 , $	24.50 , 	8.00 , 	4.00 , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	12.00 , 	29.00 ,,
KB-727-2 (KB-727-2 WINDOW CURTAIN ROD ),CURTAIN, $	15.00 , $	26.25 , 	6.00 , 	4.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	15.00 , 	25.00 ,,
KB-730-1 (KB-730-1 WINDOW CURTAIN ROD ),CURTAIN, $	12.00 , $	21.00 , 	2.00 , 	6.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	9.00 , 	17.00 ,,
KB-730-2 (KB-730-2 WINDOW CURTAIN ROD ),CURTAIN, $	14.00 , $	24.50 , 	3.00 , 	4.00 , 	8.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	13.00 , 	28.00 ,,
KB-734-1 (KB-734-1 WINDOW CURTAIN ROD),CURTAIN, $	15.00 , $	26.25 , 	3.00 , 	3.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	9.00 , 	15.00 ,,
KB-734-2 (KB-734-2 WINDOW CURTAIN ROD),CURTAIN, $	12.00 , $	21.00 , 	2.00 , 	6.00 , 	5.00 , 	5.00 , 	0.90 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	9.00 , 	27.90 ,,
MN60250 (MN60250 Mosquito Net),CURTAIN, $	15.00 , $	26.25 , 	97.00 , 	35.00 , 	39.00 , 	106.00 , 	84.00 , 	40.00 , 	124.00 , 	156.00 , 	55.00 , 	-   , 	(5.00), 	-   , 	731.00 ,,
